74,4,734
675,2,593
483,4,703
74,4,881
146,2,991
483,4,724
552,1,815
754,2,824
754,4,366
675,4,324
552,1,1020
754,2,1072
146,2,557
754,2,410
483,1,434
74,2,1076
146,4,742
74,2,733
483,2,565
675,4,187
74,2,947
754,2,823
483,1,510
74,1,605
675,2,523
483,4,886
754,2,1107
483,4,723
675,4,615
675,2,215
675,1,848
146,4,695
483,4,711
146,2,372
483,2,580
146,2,733
483,2,652
552,2,788
483,1,914
552,2,81
146,1,922
483,2,480
675,1,283
552,2,938
754,4,815
146,2,59
74,2,520
552,1,715
552,2,772
483,2,412
146,2,1206
146,2,641
675,4,437
483,1,714
552,2,592
754,2,964
146,1,1013
74,2,162
74,2,510
146,2,379
675,2,834
552,1,587
483,2,716
74,2,643
483,2,647
483,2,473
754,4,1004
146,1,681
74,2,892
552,2,680
552,1,370
675,2,629
675,2,715
74,1,598
483,2,377
754,4,835
483,2,810
483,2,522
754,2,1245
675,2,655
483,1,225
754,2,712
146,2,619
74,2,585
754,1,682
74,2,971
552,1,288
483,2,492
754,2,541
74,2,773
552,2,442
483,2,734
74,2,620
146,2,658
146,2,398
675,4,349
483,1,1201
675,4,317
675,1,914
675,1,342
754,4,237
74,1,487
754,2,631
675,2,789
146,2,664
146,1,577
146,2,685
146,2,560
146,1,1185
74,4,766
74,2,679
483,1,819
74,1,415
675,1,715
552,2,468
483,2,803
74,4,652
675,1,1087
74,1,960
146,1,645
74,2,469
754,2,721
146,2,17
754,4,1169
483,1,735
754,2,510
146,4,305
146,2,712
675,2,745
675,1,825
74,2,548
552,1,971
146,4,494
675,4,1228
146,2,420
754,2,669
146,1,604
552,1,435
74,1,1046
74,2,591
483,4,1023
552,2,798
675,2,490
675,2,219
74,2,793
483,2,446
74,2,445
146,1,345
483,2,1206
146,4,1053
675,2,673
754,1,490
74,1,472
552,2,450
146,1,523
675,4,676
754,2,616
483,2,607
146,2,793
754,1,403
74,2,613
74,1,1111
74,2,270
754,2,449
146,1,546
146,1,526
483,2,813
552,2,772
146,1,1035
146,2,1037
675,2,451
483,1,725
146,2,1027
675,1,637
675,2,406
146,1,866
483,4,618
483,1,372
74,2,327
146,2,539
146,4,402
483,2,493
146,1,742
754,2,378
146,1,748
675,2,395
754,1,624
146,1,799
552,4,788
74,1,599
754,2,332
754,2,863
74,2,638
