491,4,451
593,4,654
809,1,646
405,2,404
809,1,207
491,1,677
593,4,683
491,4,549
368,1,496
491,2,612
368,4,921
405,2,698
405,1,843
405,1,667
1529,1,586
258,1,806
809,1,553
148,4,844
491,4,821
405,4,378
809,4,886
405,1,780
148,4,1068
593,4,624
258,2,577
593,4,596
593,4,716
491,1,663
1529,1,256
593,4,591
148,1,402
368,1,387
148,2,645
258,2,760
368,1,579
1529,2,589
809,2,328
405,1,314
491,2,86
148,2,486
258,2,746
491,2,1056
809,4,371
593,1,748
491,2,721
491,4,816
593,2,824
593,2,570
368,2,904
258,4,827
809,4,186
405,2,461
405,1,540
1529,4,908
258,2,869
1529,2,667
491,4,1062
148,2,1027
809,1,900
1529,4,319
809,4,280
258,2,654
809,4,620
593,4,517
491,4,928
258,4,628
405,4,440
593,1,445
1529,4,202
491,2,511
368,2,693
148,4,962
148,4,760
1529,4,570
809,1,700
405,1,773
593,1,428
368,2,620
405,4,343
1529,4,1072
258,1,490
258,1,578
405,2,119
809,4,918
368,4,624
258,1,674
258,4,618
368,4,609
491,1,882
1529,4,529
258,1,812
368,2,14
405,4,302
368,4,585
809,2,955
809,1,954
1529,1,628
368,4,489
368,4,737
405,2,367
